VHCLE_TY_NM,VHCLE_FUEL_NM,VHCLE_NMPR_CO,VHCLE_MAKR_NM,USE_DT,COST_D
중형,휘발유,5,국산,겨울,37800
중형,휘발유,5,국산,겨울,27200
중형,휘발유,5,국산,봄,47084.21053
중형,휘발유,5,국산,겨울,21000
중형,휘발유,5,국산,봄,47084.21053
SUV/승합,전기,5,국산,겨울,30834.78261
중형,휘발유,5,국산,겨울,42944
중형,LPG,5,국산,겨울,62205.40541
중형,전기,5,국산,겨울,17472
고급,휘발유,5,국산,겨울,46454.79452
중형,LPG,5,국산,겨울,38926.0274
중형,휘발유,5,국산,겨울,43652.83019
소형,휘발유,5,국산,겨울,16246.15385
중형,LPG,5,국산,겨울,26762.26415
중형,휘발유,5,국산,겨울,42666.66667
중형,휘발유,5,국산,겨울,39443.47826
SUV/승합,전기,5,국산,겨울,42026.66667
SUV/승합,경유,5,국산,겨울,24111.62791
SUV/승합,경유,9,국산,겨울,196468.9655
중형,LPG,5,국산,겨울,18000
SUV/승합,전기,4,국산,겨울,55866.66667
소형,휘발유,5,국산,겨울,14050.90909
중형,휘발유,5,국산,겨울,19800
중형,LPG,5,국산,겨울,39936
중형,휘발유,5,국산,겨울,19476.92308
중형,휘발유,5,국산,겨울,22736.84211
중형,LPG,5,국산,겨울,17500
중형,휘발유,4,수입,겨울,79644.44444
중형,LPG,5,국산,겨울,19418.18182
중형,휘발유,5,국산,겨울,40443.24324
중형,휘발유,5,국산,겨울,28478.04878
중형,LPG,5,국산,겨울,54000
고급,LPG,5,국산,겨울,63891.89189
중형,휘발유,5,국산,겨울,34173.13433
중형,휘발유,5,국산,겨울,58641.50943
소형,휘발유,5,국산,겨울,41739.13043
중형,LPG,5,국산,겨울,15000
소형,휘발유,5,국산,겨울,56243.47826
중형,LPG,5,국산,겨울,40320
중형,LPG,5,국산,겨울,19384.61538
소형,휘발유,5,국산,겨울,30400
SUV/승합,전기,5,국산,겨울,56547.94521
중형,LPG,5,국산,겨울,26086.95652
중형,LPG,5,국산,겨울,17632.65306
중형,휘발유,5,국산,겨울,46285.71429
중형,LPG,5,국산,겨울,20117.64706
중형,휘발유,5,국산,겨울,24120
중소형,휘발유,2,국산,겨울,68177.77778
중형,휘발유,5,국산,겨울,53837.83784
소형,휘발유,5,국산,겨울,15200
소형,휘발유,5,국산,겨울,15627.90698
소형,휘발유,4,수입,겨울,69397.59036
중형,LPG,5,국산,겨울,37000
중형,LPG,5,국산,겨울,13550
중형,휘발유,5,국산,겨울,27091.52542
중형,LPG,5,국산,겨울,13500
중형,LPG,5,국산,겨울,16656.71642
소형,휘발유,4,수입,겨울,79578.94737
중형,LPG,5,국산,겨울,17351.35135
SUV/승합,경유,7,국산,봄,48768
SUV/승합,경유,7,국산,봄,63936
SUV/승합,경유,5,국산,겨울,42400
중형,LPG,5,국산,겨울,34927.65957
중형,LPG,5,국산,겨울,27945.20548
중형,LPG,5,국산,겨울,25653.33333
중형,휘발유,5,국산,겨울,28897.2973
중형,LPG,5,국산,겨울,22129.87013
소형,휘발유,5,국산,겨울,43432.25806
SUV/승합,경유,5,국산,겨울,45511.11111
중형,LPG,5,국산,겨울,21647.05882
SUV/승합,경유,5,국산,겨울,36364.55696
중형,LPG,5,국산,겨울,14500
SUV/승합,전기,4,국산,겨울,49878.26087
중형,휘발유,5,국산,겨울,15230.76923
중형,LPG,5,국산,겨울,19600
소형,휘발유,4,수입,겨울,54545.45455
SUV/승합,경유,5,국산,겨울,22539.13043
중형,LPG,5,국산,겨울,40658.82353
SUV/승합,경유,9,국산,겨울,36000
중형,LPG,5,국산,겨울,20571.42857
중형,휘발유,5,국산,겨울,20887.91209
중형,휘발유,5,국산,겨울,19062.85714
SUV/승합,전기,5,국산,겨울,37263.15789
중형,LPG,5,국산,겨울,27762.16216
소형,휘발유,5,국산,봄,21176.47059
중형,LPG,5,국산,겨울,21244.44444
소형,전기,4,수입,겨울,26600
중형,LPG,5,국산,겨울,18600
SUV/승합,경유,5,국산,겨울,47261.53846
중형,LPG,5,국산,겨울,19911.11111
SUV/승합,경유,7,수입,겨울,63529.41176
중형,LPG,5,국산,겨울,25600
소형,휘발유,5,국산,겨울,37450
고급,LPG,5,국산,봄,63724.13793
중형,LPG,5,국산,겨울,21377.77778
SUV/승합,전기,5,국산,겨울,26713.04348
SUV/승합,전기,5,국산,겨울,28030.76923
SUV/승합,경유,9,국산,겨울,40933.33333
소형,휘발유,5,국산,겨울,14352.94118
중형,LPG,5,국산,겨울,17200
중형,LPG,5,국산,겨울,27000
SUV/승합,경유,5,국산,겨울,37028.57143
중형,휘발유,5,국산,겨울,32984.61538
중형,LPG,5,국산,겨울,21257.14286
소형,휘발유,5,국산,겨울,15183.67347
중형,휘발유,5,국산,겨울,20842.10526
SUV/승합,경유,9,국산,겨울,53116.98113
중형,휘발유,5,국산,겨울,25800
중형,LPG,5,국산,겨울,18260.86957
중형,휘발유,5,국산,겨울,32984.61538
SUV/승합,전기,5,국산,겨울,25600
SUV/승합,전기,5,국산,겨울,27288.88889
중형,LPG,5,국산,겨울,31824
중형,휘발유,5,국산,겨울,21600
중형,휘발유,5,국산,겨울,41538.46154
중형,LPG,5,국산,겨울,13920
중형,휘발유,5,국산,겨울,30292.22798
고급,휘발유,5,국산,겨울,63296.7033
고급,휘발유,5,국산,겨울,79783.78378
중형,LPG,5,국산,겨울,63157.89474
중형,휘발유,5,국산,겨울,31151.02041
중형,휘발유,5,국산,겨울,30000
SUV/승합,전기,5,국산,겨울,32441.37931
SUV/승합,전기,5,국산,겨울,30823.52941
SUV/승합,경유,7,국산,겨울,76608
SUV/승합,전기,5,국산,겨울,25600
중형,LPG,5,국산,겨울,12500
소형,휘발유,5,국산,겨울,18415.38462
중형,LPG,5,국산,겨울,52363.63636
SUV/승합,휘발유,5,수입,겨울,22637.83784
SUV/승합,전기,5,국산,겨울,38550
SUV/승합,경유,5,국산,겨울,34000
중형,휘발유,5,국산,겨울,41534.69388
소형,휘발유,5,국산,겨울,16560
중형,휘발유,5,국산,겨울,22736.84211
중형,LPG,5,국산,겨울,53704.91803
SUV/승합,경유,5,국산,겨울,26000
중형,LPG,5,국산,겨울,16896
중형,휘발유,5,국산,겨울,19613.7931
고급,휘발유,5,국산,겨울,34500
중형,LPG,5,국산,겨울,17511.11111
SUV/승합,경유,9,국산,겨울,39600
SUV/승합,전기,5,국산,겨울,29111.11111
중형,휘발유,5,국산,봄,42840
중형,휘발유,5,국산,겨울,32727.27273
중형,휘발유,5,국산,겨울,19878.26087
중형,휘발유,5,국산,겨울,19878.26087
SUV/승합,경유,12,국산,겨울,61440
SUV/승합,전기,5,국산,겨울,44325
소형,휘발유,5,국산,겨울,11950
중형,휘발유,5,국산,겨울,18480
SUV/승합,전기,5,국산,겨울,30506.66667
중형,LPG,5,국산,겨울,13043.47826
중형,LPG,5,국산,겨울,50000
소형,휘발유,5,국산,겨울,38624
소형,휘발유,5,국산,겨울,25066.66667
SUV/승합,경유,12,국산,겨울,37472
중형,LPG,5,국산,겨울,12500
중형,휘발유,5,국산,겨울,34960
SUV/승합,경유,7,국산,겨울,40800
중형,LPG,5,국산,겨울,28560
소형,휘발유,4,수입,겨울,44800
중형,LPG,5,국산,겨울,23400
SUV/승합,경유,5,국산,겨울,26250
중형,LPG,5,국산,겨울,28224
소형,휘발유,4,수입,겨울,44800
중형,전기,5,국산,겨울,14300
소형,휘발유,5,국산,겨울,16490.32258
중형,LPG,5,국산,겨울,17660.37736
SUV/승합,전기,5,국산,겨울,19700
중형,LPG,5,국산,겨울,16173.91304
중형,휘발유,5,국산,겨울,31764.70588
SUV/승합,전기,5,국산,겨울,21569.23077
중형,휘발유,5,국산,겨울,19476.92308
SUV/승합,경유,9,국산,겨울,61618.60465
중형,LPG,5,국산,겨울,13500
SUV/승합,경유,5,국산,겨울,59563.63636
중형,휘발유,5,국산,겨울,17436.73469
중형,휘발유,5,국산,봄,24685.71429
SUV/승합,휘발유,5,국산,겨울,24000
중형,LPG,5,국산,겨울,15000
중형,LPG,5,국산,겨울,27037.5
중형,휘발유,5,국산,겨울,40481.92771
중형,LPG,5,국산,겨울,22707.69231
중형,휘발유,5,국산,겨울,20964.70588
중형,LPG,5,국산,겨울,17437.5
중형,LPG,5,국산,겨울,18600
소형,전기,4,수입,겨울,27452.05479
소형,휘발유,5,국산,겨울,25136.84211
중형,LPG,5,국산,겨울,12804.87805
SUV/승합,전기,5,국산,겨울,29111.11111
중형,휘발유,5,국산,겨울,36206.89655
SUV/승합,전기,5,국산,겨울,41538.46154
중형,LPG,5,국산,겨울,24000
중형,LPG,5,국산,겨울,19878.78788
SUV/승합,경유,5,국산,겨울,35478.26087
고급,휘발유,5,국산,겨울,50000
소형,휘발유,5,국산,겨울,27300
SUV/승합,경유,5,국산,겨울,63483.87097
중형,전기,5,국산,겨울,15701.20482
중형,LPG,5,국산,겨울,21000
중형,LPG,5,국산,겨울,25363.63636
SUV/승합,경유,9,국산,겨울,69517.24138
중형,LPG,5,국산,겨울,15000
중형,LPG,5,국산,겨울,16909.09091
SUV/승합,전기,5,국산,겨울,28000
중형,LPG,5,국산,겨울,28338.46154
소형,휘발유,5,국산,봄,18333.33333
SUV/승합,휘발유,5,수입,겨울,35536.84211
중형,휘발유,5,국산,겨울,20228.57143
중형,휘발유,5,국산,봄,42193.54839
중형,휘발유,5,국산,겨울,18044.44444
