VHCLE_TY_NM,VHCLE_FUEL_NM,VHCLE_NMPR_CO,VHCLE_MAKR_NM,USE_DT,COST_D
중형,LPG,5,국산,봄,9704.347826
SUV/승합,전기,5,국산,봄,18038.70968
중형,LPG,5,국산,봄,10145.45455
소형,휘발유,5,국산,봄,18070.58824
중형,LPG,5,국산,봄,11270.88608
중형,휘발유,5,국산,봄,10285.71429
중형,LPG,5,국산,봄,9200
SUV/승합,전기,5,국산,봄,19563.63636
중형,휘발유,5,국산,봄,8087.671233
중형,LPG,5,국산,봄,10985.91549
SUV/승합,경유,8,국산,봄,45665.75342
SUV/승합,경유,12,국산,봄,15661.53846
고급,휘발유,5,국산,봄,66844.44444
SUV/승합,경유,5,국산,봄,27000
중형,LPG,5,국산,봄,10067.79661
SUV/승합,휘발유,5,국산,봄,14659.45946
중형,휘발유,5,국산,봄,11100
중형,LPG,5,국산,봄,17000
고급,휘발유,5,국산,봄,35320.75472
SUV/승합,경유,9,국산,봄,21018.94737
SUV/승합,경유,8,국산,봄,41417.14286
중형,휘발유,5,국산,봄,15141.81818
SUV/승합,전기,5,국산,봄,25658.18182
중형,LPG,5,국산,봄,14644.89796
SUV/승합,전기,5,국산,봄,17900
중형,LPG,5,국산,봄,10800
중형,LPG,5,국산,봄,9500
중형,LPG,5,국산,봄,9300
중형,LPG,5,국산,봄,11788.23529
SUV/승합,전기,5,국산,봄,18125.87413
SUV/승합,경유,9,국산,봄,29268.29268
중형,휘발유,5,국산,봄,8765.217391
SUV/승합,경유,9,국산,봄,24024
중형,LPG,5,국산,봄,11500
중형,휘발유,5,국산,봄,8460
SUV/승합,경유,9,국산,봄,20800
중형,LPG,5,국산,봄,12436.36364
중형,LPG,5,국산,봄,18800
SUV/승합,경유,12,국산,봄,26815.38462
SUV/승합,휘발유,8,국산,봄,50981.81818
중형,LPG,5,국산,봄,54720
중형,휘발유,5,국산,봄,11233.73494
소형,휘발유,5,국산,봄,38400
중형,휘발유,5,국산,봄,11336.58537
고급,휘발유,5,국산,봄,54000
SUV/승합,전기,5,국산,봄,18000
중형,휘발유,5,국산,봄,8578.723404
고급,LPG,5,국산,봄,32680.85106
소형,휘발유,4,수입,봄,90352.94118
SUV/승합,경유,7,국산,봄,33528.35821
SUV/승합,경유,9,국산,봄,30514.28571
중형,LPG,5,국산,봄,15428.57143
중형,LPG,5,국산,봄,13644.44444
중형,LPG,5,국산,봄,11100
중형,LPG,5,국산,봄,12600
중형,LPG,5,국산,봄,10517.64706
고급,휘발유,5,국산,봄,40410.81081
중형,휘발유,4,수입,봄,130971.4286
SUV/승합,전기,5,국산,봄,18782.6087
SUV/승합,휘발유,7,국산,봄,30171.42857
SUV/승합,휘발유,5,국산,봄,29355.3719
SUV/승합,경유,8,국산,봄,38896.55172
중형,LPG,5,국산,봄,12600
중형,휘발유,5,국산,봄,14440
중형,LPG,5,국산,봄,11500
고급,휘발유,5,국산,봄,21600
SUV/승합,경유,12,국산,봄,13900
SUV/승합,경유,9,국산,봄,21664.86486
SUV/승합,경유,12,국산,봄,17076.92308
소형,휘발유,4,수입,봄,44800
SUV/승합,경유,9,국산,봄,36235.29412
SUV/승합,경유,8,국산,봄,67500
중형,LPG,5,국산,봄,33600
SUV/승합,휘발유,5,국산,봄,12970.21277
소형,휘발유,4,수입,봄,39866.66667
중형,LPG,5,국산,봄,13265.45455
고급,휘발유,5,국산,봄,59500
SUV/승합,경유,5,국산,봄,22755.55556
중형,LPG,5,국산,봄,15100
소형,휘발유,4,수입,봄,39866.66667
SUV/승합,휘발유,5,국산,봄,13062.85714
SUV/승합,경유,9,국산,봄,19302.12766
SUV/승합,휘발유,5,국산,봄,16200
중형,휘발유,5,국산,봄,12000
소형,휘발유,4,수입,봄,42933.33333
중형,휘발유,5,국산,봄,16428.16901
고급,LPG,5,국산,봄,47500
소형,휘발유,5,국산,봄,7100
중형,LPG,5,국산,봄,11500
중형,LPG,5,국산,봄,11500
중형,휘발유,5,국산,봄,12318.36735
SUV/승합,경유,7,국산,봄,24162.16216
고급,휘발유,5,국산,봄,38254.54545
중형,LPG,5,국산,봄,12000
중형,LPG,5,국산,봄,45300
중형,휘발유,5,국산,봄,8541.732283
중형,휘발유,5,국산,봄,13317.64706
SUV/승합,전기,5,국산,봄,18360
중형,LPG,5,국산,봄,15280
중형,LPG,5,국산,봄,13800
중형,휘발유,5,국산,봄,11100
중형,휘발유,5,국산,봄,11417.14286
중형,휘발유,4,수입,봄,65280
SUV/승합,휘발유,5,국산,봄,14400
중형,휘발유,5,국산,봄,18465.30612
소형,휘발유,5,국산,봄,7100
중형,LPG,5,국산,봄,13313.20755
중형,LPG,5,국산,봄,16096.55172
중형,휘발유,5,국산,봄,10200
중형,LPG,5,국산,봄,19377.77778
중형,LPG,5,국산,봄,17503.44828
중형,LPG,5,국산,봄,11100
SUV/승합,경유,9,국산,봄,24992
중형,전기,5,국산,봄,17261.53846
중형,LPG,5,국산,봄,32334.54545
중형,LPG,5,국산,봄,17100
SUV/승합,전기,5,국산,봄,15700
중형,LPG,5,국산,봄,15100
중형,휘발유,5,국산,봄,12000
소형,휘발유,5,국산,봄,10724.05063
중형,전기,5,국산,봄,33600
SUV/승합,경유,7,국산,봄,23840
중형,전기,5,국산,봄,30200
중형,LPG,5,국산,봄,14700
중형,LPG,5,국산,봄,20365.71429
소형,휘발유,5,국산,봄,7149.65035
중형,휘발유,5,국산,봄,12295.38462
중형,휘발유,5,국산,봄,7504.225352
소형,휘발유,5,국산,봄,9512.727273
중형,LPG,5,국산,봄,11500
중형,휘발유,4,수입,봄,98000
중형,LPG,5,국산,봄,17600
중형,LPG,5,국산,봄,18830.76923
고급,휘발유,5,국산,봄,50000
중형,전기,5,국산,봄,15600
중형,휘발유,5,국산,봄,9672.727273
SUV/승합,경유,9,국산,봄,22200
중형,LPG,5,국산,봄,11500
중형,휘발유,5,국산,봄,7400
중형,LPG,5,국산,봄,16622.22222
SUV/승합,경유,5,국산,봄,25309.09091
SUV/승합,경유,7,국산,봄,34434.78261
중형,LPG,5,국산,봄,27200
소형,휘발유,5,국산,봄,8800
소형,휘발유,5,국산,봄,11723.07692
중형,LPG,5,국산,봄,18000
중형,LPG,5,국산,봄,16512
SUV/승합,경유,5,국산,봄,24000
SUV/승합,전기,5,국산,봄,62100
SUV/승합,전기,5,국산,봄,54000
고급,휘발유,5,국산,봄,31200
SUV/승합,휘발유,5,국산,봄,14716.98113
소형,휘발유,5,국산,봄,8210.526316
중형,LPG,5,국산,봄,25469.38776
중형,LPG,5,국산,봄,18260.86957
중형,LPG,5,국산,봄,10639.17526
중형,LPG,5,국산,봄,17660.37736
SUV/승합,전기,5,국산,봄,18620.68966
소형,휘발유,5,국산,봄,12544
소형,휘발유,5,국산,봄,12812.90323
중형,LPG,5,국산,봄,17500
SUV/승합,경유,8,국산,봄,45957.44681
중형,휘발유,5,국산,봄,16145.45455
SUV/승합,전기,5,국산,봄,17127.27273
SUV/승합,전기,5,국산,봄,16514.85149
중형,휘발유,5,국산,봄,8307.692308
중형,휘발유,5,국산,봄,12685.71429
중형,휘발유,5,국산,봄,14872.13115
SUV/승합,전기,5,국산,봄,24700
중형,LPG,5,국산,봄,17739.13043
중소형,휘발유,5,국산,봄,20488.88889
소형,휘발유,5,국산,봄,10311.11111
중형,LPG,5,국산,봄,17894.73684
소형,휘발유,4,수입,봄,73252.17391
중형,휘발유,5,국산,봄,15312.67606
중형,휘발유,5,국산,봄,13569.23077
SUV/승합,경유,9,국산,봄,21781.13208
소형,휘발유,5,국산,봄,9500
중형,LPG,5,국산,봄,22956.52174
중형,LPG,5,국산,봄,11100
소형,휘발유,4,수입,봄,48240
소형,휘발유,4,수입,봄,45000
중형,LPG,5,국산,봄,35733.33333
중형,휘발유,5,국산,봄,13066.66667
중형,휘발유,5,국산,봄,33300
고급,LPG,5,국산,봄,31863.82979
중형,휘발유,5,국산,봄,8875.471698
SUV/승합,휘발유,5,국산,봄,24141.17647
중형,LPG,5,국산,봄,13313.20755
SUV/승합,휘발유,5,국산,봄,13647.76119
중형,LPG,5,국산,봄,13178.94737
중형,LPG,5,국산,봄,13569.23077
SUV/승합,전기,5,국산,봄,22211.76471
중형,휘발유,5,국산,봄,8400
중형,휘발유,5,국산,봄,13200
중형,휘발유,5,국산,봄,11115.78947
SUV/승합,경유,9,국산,봄,28042.10526
SUV/승합,경유,9,국산,봄,25000
중형,LPG,5,국산,봄,9913.043478
중형,LPG,5,국산,봄,13569.23077
소형,휘발유,5,국산,봄,9500
중형,휘발유,5,국산,봄,8415.584416
SUV/승합,휘발유,5,국산,봄,20756.75676
중형,휘발유,5,국산,봄,14571.42857
중형,휘발유,5,국산,봄,8415.584416
중형,LPG,5,국산,봄,10208.95522
중형,LPG,5,국산,봄,20400
중형,LPG,5,국산,봄,16188.23529
중형,LPG,5,국산,봄,15100
중형,휘발유,5,국산,봄,11100
중형,휘발유,5,국산,봄,9500
중형,LPG,5,국산,봄,11384.61538
중형,휘발유,5,국산,봄,23800
중형,휘발유,5,국산,봄,11520
중형,LPG,5,국산,봄,28412.90323
SUV/승합,경유,9,국산,봄,21440
중형,LPG,5,국산,봄,15531.42857
중형,LPG,5,국산,봄,15100
중형,LPG,5,국산,봄,11100
중형,LPG,5,국산,봄,11500
중형,LPG,5,국산,봄,10800
중형,LPG,5,국산,봄,19448.27586
SUV/승합,경유,9,국산,봄,25066.66667
중형,LPG,5,국산,봄,12765.21739
SUV/승합,경유,7,국산,봄,18866.66667
고급,휘발유,5,국산,봄,31552
고급,LPG,5,국산,봄,56160
중형,LPG,5,국산,봄,15936
중형,휘발유,5,국산,봄,9046.153846
중형,휘발유,5,국산,봄,12146.93878
소형,휘발유,4,수입,봄,39864.40678
중형,휘발유,5,국산,봄,10212.76596
SUV/승합,경유,9,국산,봄,20615.38462
SUV/승합,경유,7,국산,봄,18501.81818
SUV/승합,경유,9,국산,봄,30000
소형,휘발유,5,국산,봄,10503.8961
중형,LPG,5,국산,봄,12666.66667
SUV/승합,경유,8,국산,봄,46092.30769
소형,휘발유,5,국산,봄,9900
SUV/승합,전기,5,국산,봄,18791.48936
고급,휘발유,5,국산,봄,44204.65116
중형,LPG,5,국산,봄,12715.78947
SUV/승합,휘발유,5,수입,봄,13575
중형,전기,5,국산,봄,15600
SUV/승합,경유,9,국산,봄,18900
SUV/승합,전기,5,국산,봄,18305.08475
중형,LPG,5,국산,봄,15936
SUV/승합,전기,5,국산,봄,17950.68493
중형,LPG,5,국산,봄,11500
중형,LPG,5,국산,봄,11500
SUV/승합,휘발유,7,국산,봄,28894.11765
중형,휘발유,5,국산,봄,15866.66667
SUV/승합,경유,9,국산,봄,21377.77778
중형,휘발유,5,국산,봄,13488
SUV/승합,휘발유,5,국산,봄,14979.31034
중형,휘발유,5,국산,봄,10841.37931
소형,휘발유,4,수입,봄,68400
SUV/승합,전기,4,국산,봄,22550.9434
소형,휘발유,5,국산,봄,11914.28571
중형,LPG,5,국산,봄,30666.66667
중형,전기,5,국산,봄,18000
소형,휘발유,5,국산,봄,10058.82353
중형,LPG,5,국산,봄,20057.14286
중형,LPG,5,국산,봄,17810.52632
중형,LPG,5,국산,봄,20057.14286
중형,LPG,5,국산,봄,12939.13043
소형,휘발유,5,국산,봄,15803.77358
중형,휘발유,5,국산,봄,10472.72727
중형,LPG,5,국산,봄,30000
중형,LPG,5,국산,봄,9900
중형,휘발유,5,국산,봄,8855.172414
고급,휘발유,5,국산,봄,76800
중형,휘발유,5,국산,봄,7721.73913
중형,휘발유,5,국산,봄,12713.51351
중형,LPG,5,국산,봄,14700
중형,LPG,5,국산,봄,11100
SUV/승합,경유,5,국산,봄,12700
SUV/승합,휘발유,5,국산,봄,13397.8022
중형,LPG,5,국산,봄,12611.76471
고급,휘발유,5,국산,봄,30109.09091
중형,전기,5,국산,봄,18000
중형,휘발유,5,국산,봄,14068.96552
중형,전기,5,국산,봄,22870.58824
중형,휘발유,5,국산,봄,9500
SUV/승합,휘발유,5,국산,봄,14400
중형,LPG,5,국산,봄,13313.20755
중형,휘발유,5,국산,봄,9500
중형,휘발유,5,국산,봄,11482.75862
중형,휘발유,5,국산,봄,11100
중형,LPG,5,국산,봄,11200
중형,LPG,5,국산,봄,17333.33333
중형,휘발유,5,국산,봄,10998.99497
중형,LPG,5,국산,봄,11582.6087
소형,휘발유,4,수입,봄,55542.85714
SUV/승합,경유,9,국산,봄,23760
SUV/승합,휘발유,5,국산,봄,13907.69231
중형,휘발유,5,국산,봄,7400
중형,휘발유,5,국산,봄,9500
소형,휘발유,5,국산,봄,13569.23077
중형,LPG,5,국산,봄,15100
중형,휘발유,5,국산,봄,10887.5
SUV/승합,경유,11,국산,봄,32752.94118
중형,LPG,5,국산,봄,14880
중형,휘발유,5,국산,봄,10736.84211
소형,휘발유,5,국산,봄,7100
중형,LPG,5,국산,봄,13411.76471
중형,휘발유,5,국산,봄,10040.81633
중형,LPG,5,국산,봄,13309.09091
중형,휘발유,4,수입,봄,82488.88889
SUV/승합,경유,7,국산,봄,17454.54545
SUV/승합,경유,9,국산,봄,24417.3913
고급,휘발유,5,국산,봄,29700
중형,LPG,5,국산,봄,13440
SUV/승합,휘발유,5,국산,봄,16114.28571
중형,휘발유,5,국산,봄,12378.94737
SUV/승합,경유,7,국산,봄,25554.92958
SUV/승합,경유,8,국산,봄,38144
소형,전기,4,수입,봄,30683.5443
소형,휘발유,4,수입,봄,61016.94915
중형,휘발유,5,국산,봄,11647.05882
중형,휘발유,5,국산,봄,10231.57895
중형,LPG,5,국산,봄,12666.66667
SUV/승합,경유,8,국산,봄,42591.5493
중형,휘발유,5,국산,봄,15756.52174
SUV/승합,경유,8,국산,봄,40266.66667
소형,휘발유,5,국산,봄,11000
SUV/승합,경유,7,수입,봄,30000
중형,LPG,5,국산,봄,11500
중형,휘발유,5,국산,봄,8875.471698
SUV/승합,전기,5,국산,봄,15700
중형,휘발유,5,국산,봄,10017.3913
소형,휘발유,4,수입,봄,36626.08696
중형,휘발유,5,국산,봄,7400
중형,LPG,5,국산,봄,12266.66667
소형,휘발유,5,국산,봄,10784
소형,휘발유,5,국산,봄,9913.043478
SUV/승합,전기,5,국산,봄,19285.71429
SUV/승합,전기,4,국산,봄,19500
소형,휘발유,5,국산,봄,10784
중형,LPG,5,국산,봄,13484.21053
중형,LPG,5,국산,봄,17155.55556
중형,LPG,5,국산,봄,15484.61538
SUV/승합,경유,7,국산,봄,25215.18987
중형,휘발유,5,국산,봄,9600
SUV/승합,전기,5,국산,봄,23717.64706
중형,휘발유,5,국산,봄,15100
SUV/승합,경유,9,국산,봄,22635.29412
중형,LPG,5,국산,봄,13527.27273
SUV/승합,경유,7,국산,봄,55200
SUV/승합,경유,7,국산,봄,55200
SUV/승합,경유,9,국산,봄,17800
중형,LPG,5,국산,봄,21194.3662
중형,LPG,5,국산,봄,11500
중형,LPG,5,국산,봄,11100
소형,휘발유,5,국산,봄,12266.66667
중형,LPG,5,국산,봄,38117.64706
소형,휘발유,5,국산,봄,7100
중형,휘발유,5,국산,봄,7400
소형,휘발유,5,국산,봄,10784
중형,휘발유,5,국산,봄,11616
중형,LPG,5,국산,봄,14000
중형,LPG,5,국산,봄,9754.010695
중형,휘발유,4,수입,봄,81529.41176
SUV/승합,경유,9,국산,봄,20363.63636
SUV/승합,휘발유,5,국산,봄,13729.72973
소형,휘발유,5,국산,봄,7745.454545
중형,휘발유,5,국산,봄,7400
중형,LPG,5,국산,봄,12738.46154
SUV/승합,경유,9,국산,봄,26030.76923
SUV/승합,전기,5,국산,봄,17252.83019
중형,휘발유,5,국산,봄,7400
중형,휘발유,5,국산,봄,20400
중형,휘발유,5,국산,봄,8256
중형,휘발유,5,국산,봄,12528.81356
중형,휘발유,5,국산,봄,8256
중형,LPG,5,국산,봄,12266.66667
SUV/승합,전기,5,국산,봄,20554.83871
SUV/승합,경유,5,국산,봄,20000
중형,휘발유,5,국산,봄,8457.142857
중형,LPG,5,국산,봄,11296.9697
중형,LPG,5,국산,봄,28500
SUV/승합,경유,8,국산,봄,42000
중형,휘발유,5,국산,봄,12705.88235
고급,휘발유,5,국산,봄,32300
중형,휘발유,5,국산,봄,15190.41916
중형,LPG,5,국산,봄,14171.42857
SUV/승합,경유,9,국산,봄,21274.07407
중형,휘발유,5,국산,봄,11840
SUV/승합,휘발유,5,국산,봄,34560
중소형,LPG,5,국산,봄,21276.92308
SUV/승합,휘발유,5,국산,봄,27276.92308
중형,휘발유,5,국산,봄,8526.315789
SUV/승합,휘발유,5,국산,봄,12700
중형,휘발유,5,국산,봄,11272.72727
SUV/승합,경유,9,국산,봄,19748.57143
중형,LPG,5,국산,봄,12000
SUV/승합,전기,5,국산,봄,16623.52941
중형,LPG,5,국산,봄,13088
SUV/승합,전기,4,국산,봄,22645.16129
중형,LPG,5,국산,봄,15866.66667
중형,LPG,5,국산,봄,12416.32653
중형,LPG,5,국산,봄,17571.42857
중형,LPG,5,국산,봄,17211.42857
중형,휘발유,5,국산,봄,14400
중형,LPG,5,국산,봄,33066.66667
중형,LPG,5,국산,봄,16800
소형,휘발유,4,수입,봄,45645.28302
SUV/승합,경유,9,국산,봄,22635.29412
SUV/승합,전기,5,국산,봄,17252.83019
중형,휘발유,5,국산,봄,13469.38776
중형,휘발유,5,국산,봄,7721.73913
SUV/승합,경유,9,국산,봄,23400
중형,휘발유,5,국산,봄,8400
중형,LPG,5,국산,봄,14809.09091
중형,LPG,5,국산,봄,12905.66038
SUV/승합,경유,8,국산,봄,33600
중형,휘발유,5,국산,봄,8400
중형,LPG,5,국산,봄,11500
중형,LPG,5,국산,봄,15281.92771
중형,LPG,5,국산,봄,11500
중형,LPG,5,국산,봄,14666.66667
중형,휘발유,4,수입,봄,80347.82609
SUV/승합,경유,5,국산,봄,15706.32911
SUV/승합,휘발유,5,국산,봄,17176.47059
중형,LPG,5,국산,봄,18000
중형,휘발유,5,국산,봄,16968.42105
SUV/승합,전기,5,국산,봄,18116.12903
중형,LPG,5,국산,봄,11500
중형,휘발유,5,국산,봄,10472.72727
SUV/승합,휘발유,5,국산,봄,17090.90909
SUV/승합,전기,5,국산,봄,18065.45455
SUV/승합,전기,5,국산,봄,16623.52941
중형,LPG,5,국산,봄,9400
중형,LPG,5,국산,봄,35000
소형,휘발유,5,국산,봄,12600
중형,LPG,5,국산,봄,15000
중형,휘발유,5,국산,봄,11193.27731
소형,휘발유,5,국산,봄,24471.42857
중형,휘발유,5,국산,봄,11100
중형,LPG,5,국산,봄,13584.90566
SUV/승합,전기,5,국산,봄,19285.71429
중형,LPG,5,국산,봄,16472.72727
소형,휘발유,5,국산,봄,7100
중형,휘발유,5,국산,봄,18192
중형,휘발유,5,국산,봄,10687.5
중형,휘발유,5,국산,봄,11288.13559
고급,LPG,5,국산,봄,43200
SUV/승합,휘발유,5,수입,봄,23000
중형,LPG,5,국산,봄,12615.38462
소형,휘발유,5,국산,봄,7573.333333
중형,휘발유,5,국산,봄,10461.53846
SUV/승합,휘발유,5,국산,봄,18240
SUV/승합,경유,9,국산,봄,34503.8961
소형,휘발유,5,국산,봄,18720
SUV/승합,경유,8,국산,봄,50301.36986
중소형,LPG,5,국산,봄,25440
SUV/승합,경유,7,국산,봄,21000
중형,LPG,5,국산,봄,11300
SUV/승합,휘발유,5,국산,봄,12700
SUV/승합,경유,9,국산,봄,19200
중형,LPG,5,국산,봄,13971.42857
소형,휘발유,5,국산,봄,10017.3913
중형,휘발유,5,국산,봄,25200
중형,LPG,5,국산,봄,15490.90909
SUV/승합,경유,7,국산,봄,25411.76471
SUV/승합,휘발유,5,국산,봄,19911.11111
중형,LPG,5,국산,봄,15280
SUV/승합,경유,12,국산,봄,22341.17647
중형,LPG,5,국산,봄,11964.70588
소형,휘발유,5,국산,봄,11120
중형,LPG,5,국산,봄,28800
SUV/승합,전기,5,국산,봄,15700
고급,LPG,5,국산,봄,37500
중형,휘발유,5,국산,봄,9500
중형,휘발유,5,국산,봄,30480
중형,LPG,5,국산,봄,15833.76623
중형,LPG,5,국산,봄,18800
중형,LPG,5,국산,봄,9450
중형,휘발유,5,국산,봄,13223.52941
SUV/승합,경유,8,국산,봄,42000
중형,LPG,5,국산,봄,12545.45455
중형,LPG,5,국산,봄,18900
SUV/승합,경유,9,국산,봄,18821.05263
중형,LPG,5,국산,봄,11459.15493
SUV/승합,경유,12,국산,봄,41040
중형,전기,5,국산,봄,19764.70588
중형,LPG,5,국산,봄,11300
중형,LPG,5,국산,봄,13061.53846
SUV/승합,전기,5,국산,봄,15700
소형,전기,4,수입,봄,30222.22222
SUV/승합,전기,4,국산,봄,19500
소형,휘발유,5,국산,봄,8312.195122
중형,LPG,5,국산,봄,12842.10526
SUV/승합,전기,5,국산,봄,17900
중형,휘발유,4,수입,봄,300000
소형,휘발유,5,국산,봄,11723.07692
SUV/승합,경유,9,국산,봄,21600
SUV/승합,전기,5,국산,봄,17448.64865
소형,휘발유,4,수입,봄,98181.81818
소형,휘발유,4,수입,봄,80000
중형,휘발유,5,국산,봄,12900
소형,휘발유,4,수입,봄,44584.61538
중형,LPG,5,국산,봄,12914.28571
중형,휘발유,5,국산,봄,26400
중형,LPG,5,국산,봄,15100
소형,휘발유,4,수입,봄,44307.69231
중형,LPG,5,국산,봄,38400
SUV/승합,경유,5,국산,봄,47805.40541
소형,휘발유,5,국산,봄,10800
SUV/승합,전기,5,국산,봄,19058.82353
중형,LPG,5,국산,봄,15100
중형,전기,5,국산,봄,17379.31034
소형,휘발유,4,수입,봄,48240
고급,휘발유,5,국산,봄,28800
중형,LPG,5,국산,봄,13440
중형,휘발유,5,국산,봄,11100
중형,LPG,5,국산,봄,12400
중형,LPG,5,국산,봄,16476.92308
중형,휘발유,5,국산,봄,19000
중형,LPG,5,국산,봄,13643.83562
중형,휘발유,5,국산,봄,39000
중형,LPG,5,국산,봄,9579.831933
중형,휘발유,5,국산,봄,9942.857143
중형,휘발유,5,국산,봄,15294.11765
SUV/승합,전기,5,국산,봄,15921.12676
중형,LPG,5,국산,봄,16028.57143
중형,LPG,5,국산,봄,16472.72727
SUV/승합,경유,5,국산,봄,22784
SUV/승합,경유,9,국산,봄,27706.32911
SUV/승합,경유,5,국산,봄,24000
소형,휘발유,5,국산,봄,8960
중형,LPG,5,국산,봄,10900
중형,LPG,5,국산,봄,16200
고급,휘발유,5,국산,봄,83076.92308
중형,LPG,5,국산,봄,10622.22222
중형,LPG,5,국산,봄,9497.87234
SUV/승합,전기,4,국산,봄,22285.71429
중형,LPG,5,국산,봄,10628.57143
SUV/승합,휘발유,5,국산,봄,13109.67742
중형,LPG,5,국산,봄,16378.94737
중형,LPG,5,국산,봄,18545.45455
고급,휘발유,5,국산,봄,24500
중형,LPG,5,국산,봄,10622.22222
중형,LPG,5,국산,봄,25770
중형,LPG,5,국산,봄,14037.73585
중형,LPG,5,국산,봄,9300
소형,휘발유,5,국산,봄,7251.06383
중형,LPG,5,국산,봄,9620.689655
SUV/승합,전기,5,국산,봄,18000
SUV/승합,휘발유,5,수입,봄,28388.57143
SUV/승합,전기,5,국산,봄,17929.41176
소형,휘발유,5,국산,봄,11907.69231
SUV/승합,전기,5,국산,봄,19636.36364
중형,휘발유,5,국산,봄,10457.14286
SUV/승합,경유,7,국산,봄,29454.54545
SUV/승합,경유,9,국산,봄,21905.45455
중형,LPG,5,국산,봄,23157.89474
중형,LPG,5,국산,봄,29741.17647
중형,LPG,5,국산,봄,12514.28571
소형,휘발유,5,국산,봄,10208.95522
SUV/승합,휘발유,5,국산,봄,17129.77099
중형,LPG,5,국산,봄,9300
소형,휘발유,5,국산,봄,7100
중형,휘발유,5,국산,봄,21120
SUV/승합,휘발유,5,국산,봄,19872
중형,휘발유,5,국산,봄,20290.90909
고급,휘발유,5,국산,봄,41433.96226
중형,휘발유,5,국산,봄,75157.89474
중형,휘발유,5,국산,봄,11811.76471
중형,LPG,5,국산,봄,29725.3012
중형,휘발유,5,국산,봄,11027.02703
중형,LPG,5,국산,봄,9300
중형,LPG,5,국산,봄,9300
SUV/승합,경유,12,국산,봄,22000
중형,LPG,5,국산,봄,28600
SUV/승합,휘발유,5,국산,봄,19680
소형,휘발유,5,국산,봄,9512.727273
중형,LPG,5,국산,봄,9900
중형,LPG,5,국산,봄,17155.55556
중형,LPG,5,국산,봄,9300
중형,LPG,5,국산,봄,18164.70588
중형,LPG,5,국산,봄,15100
중형,휘발유,5,국산,봄,12218.18182
고급,휘발유,5,국산,봄,65200
소형,휘발유,5,국산,봄,11808
중형,LPG,5,국산,봄,10989.47368
SUV/승합,전기,5,국산,봄,15700
중형,LPG,5,국산,봄,23157.89474
SUV/승합,전기,5,국산,봄,15700
소형,휘발유,5,국산,봄,41110.58824
중형,LPG,5,국산,봄,17436.73469
SUV/승합,경유,5,국산,봄,29672.72727
중형,휘발유,5,국산,봄,10457.14286
SUV/승합,경유,5,국산,봄,24000
소형,휘발유,5,국산,봄,10482.35294
중형,휘발유,5,국산,봄,8032.653061
중형,LPG,5,국산,봄,9300
중형,LPG,5,국산,봄,29417.14286
중형,휘발유,5,국산,봄,14666.66667
중형,휘발유,5,국산,봄,18461.53846
중형,LPG,5,국산,봄,9565.714286
중형,휘발유,5,국산,봄,14482.75862
SUV/승합,전기,5,국산,봄,23614.28571
중형,LPG,5,국산,봄,9300
SUV/승합,전기,5,국산,봄,15700
소형,휘발유,5,국산,봄,8114.285714
중형,LPG,5,국산,봄,16320
중형,LPG,5,국산,봄,16842.10526
중형,휘발유,5,국산,봄,16224
중형,LPG,5,국산,봄,10800
SUV/승합,경유,9,국산,봄,21905.45455
중형,LPG,5,국산,봄,12000
중형,LPG,5,국산,봄,9300
중형,LPG,5,국산,봄,12400
SUV/승합,전기,5,국산,봄,20129.03226
중형,휘발유,5,국산,봄,15840
고급,LPG,5,국산,봄,45884.21053
SUV/승합,휘발유,5,국산,봄,14725.42373
소형,휘발유,5,국산,봄,22409.63855
중형,휘발유,5,국산,봄,12077.41935
중형,LPG,5,국산,봄,11160
중형,휘발유,5,국산,봄,14163.38028
소형,휘발유,5,국산,봄,7600
중형,휘발유,5,국산,봄,18222.22222
중형,휘발유,5,국산,봄,8526.315789
소형,전기,4,수입,봄,27165.95745
SUV/승합,경유,5,국산,봄,22539.13043
중형,LPG,5,국산,봄,11247.05882
중형,휘발유,4,수입,봄,84000
중형,LPG,5,국산,봄,16200
SUV/승합,전기,5,국산,봄,17662.5
중형,LPG,5,국산,봄,9900
중형,LPG,5,국산,봄,17239.43662
중형,LPG,5,국산,봄,15100
SUV/승합,경유,8,국산,봄,49090.90909
중형,휘발유,5,국산,봄,8320
SUV/승합,경유,9,국산,봄,20142.85714
소형,휘발유,4,수입,봄,54535.13514
SUV/승합,경유,7,국산,봄,26682.35294
중형,휘발유,5,국산,봄,16301.88679
중형,휘발유,4,수입,봄,132300
중형,LPG,5,국산,봄,10500
소형,휘발유,5,국산,봄,17000
중형,LPG,5,국산,봄,16800
중형,휘발유,5,국산,봄,7721.73913
소형,휘발유,5,국산,봄,7473.684211
SUV/승합,전기,5,국산,봄,16148.57143
SUV/승합,휘발유,5,국산,봄,17777.77778
SUV/승합,경유,5,국산,봄,17090.90909
중형,LPG,5,국산,봄,9866.666667
중형,LPG,5,국산,봄,21176.47059
중형,LPG,5,국산,봄,9300
중형,휘발유,5,국산,봄,15329.03226
고급,휘발유,5,국산,봄,75000
소형,휘발유,5,국산,봄,10089.79592
중형,LPG,5,국산,봄,11900
중형,LPG,5,국산,봄,11635.2
SUV/승합,전기,5,국산,봄,17936.84211
중형,LPG,5,국산,봄,13766.66667
SUV/승합,전기,5,국산,봄,18400
중형,LPG,5,국산,봄,9704.347826
중형,LPG,5,국산,봄,18133.33333
중형,LPG,5,국산,봄,12082.75862
